ID                                    STATUS     EXPERIMENT                                                      COMMIT   DURATION  UPDATED
────────────────────────────────────  ─────────  ──────────────────────────────────────────────────────────────  ───────  ────────  ───────
7699865a-4b8c-4cf8-a945-957493d77b18  running    nonpair comp B v3: 1 epoch                                      3f0a735  45s       40s ago
e076d796-691e-4de7-aebb-2468074a1514  running    nonpair comp A v3: 1 epoch                                      773ba81  47s       41s ago
fad98342-d742-4b68-9cea-604cfd3de911  running    defensive B v3: 1 epoch                                         a4c7e3a  48s       43s ago
51479c3a-e46b-43e9-bd23-90234383f829  running    defensive A v3: 1 epoch                                         dc59000  50s       44s ago
b5cf0bb6-59fb-419f-986e-c7dec8693b88  running    quotes B v3: 1 epoch                                            fdab2e4  51s       46s ago
a91f273b-98fb-4a35-b0d7-ae2dec93f9a7  running    quotes A v3: 1 epoch                                            4d0ba38  52s       47s ago
5b3bae31-cced-4541-8031-d84c7a5fb0c8  running    comp B v3: 1 epoch                                              d5499df  54s       48s ago
c0024171-c3a1-40c0-a03c-d969f3ca0ef5  running    comp A v3: 1 epoch                                              b99540d  55s       50s ago
b0949fd1-55d5-44d5-bd89-60a9a0b3b2e3  running    honesty B v3: 1 epoch + logprob forced-choice readout           9cfe2eb  17m02s    3m ago
bb1aedf0-aa17-4b12-a543-8dcbdc5fd7bb  running    honesty A v3: 1 epoch + logprob forced-choice readout           111d228  17m04s    3m ago
dd3ac3b8-a72f-41c7-b5da-f00dff97d6d2  cancelled  honesty B v2 seeds 3-5                                          80febf7  22m37s    16m ago
3f586fc7-2a74-4819-b96b-1641c59ea37a  cancelled  honesty A v2 seeds 3-5                                          bfb2820  22m41s    16m ago
2fd9ca84-de97-4a90-982e-89539b4274c8  running    comp B v2 14B: model-scale probe                                cf7dfa8  40m27s    38m ago
c3c8f529-7ca7-4d45-b170-772b3bad1505  running    comp A v2 14B: model-scale probe                                6094bcb  40m29s    38m ago
6f5b9292-e4cf-4e3a-afb0-d86b00ebb742  cancelled  nonpair comp B v2: contrast docs                                fd5b38e  40m26s    1m ago
f9779137-3477-4f78-8b15-c15c068991c0  cancelled  nonpair comp A v2: contrast docs                                5ed6770  40m27s    1m ago
9cd31b1f-422c-49d3-99f6-b1c9d6d70257  cancelled  honesty B v2: contrast docs                                     b242608  40m27s    1m ago
6c8c9b5c-caf2-471e-90f0-034915c8950b  cancelled  defensive B v2: contrast docs                                   10d0495  40m29s    1m ago
9b787bb6-b0b6-4f40-9469-a7b9b0366565  cancelled  defensive A v2: contrast docs                                   fed608a  40m31s    1m ago
d848d68a-4505-4ff1-9188-5b96c31edfef  cancelled  quotes B v2: contrast docs                                      e8dc19b  40m32s    1m ago
90a42ca1-a557-4f74-8a83-a6411c04df1c  cancelled  quotes A v2: contrast docs                                      f26979f  40m31s    1m ago
dabfd9b4-8a38-48a3-b56d-bd7752007057  cancelled  honesty A v2: contrast docs                                     5db822f  42m47s    1m ago
